KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
0301,Oslo,Oslo,35397.0,35397.0,30.63,2026-09-21,2031-09-03
1101,Eigersund,Stavanger,6942.0,69.0,0.15,2026-06-24,2029-04-03
1103,Stavanger,Stavanger,13831.0,13831.0,15.98,2026-06-04,2028-06-09
1106,Haugesund,Stavanger,1601.0,1601.0,2.82,2026-11-04,2032-05-18
1108,Sandnes,Stavanger,17326.0,17326.0,35.68,2026-10-13,2031-12-15
1111,Sokndal,Stavanger,2134.0,21.0,0.06,2026-06-24,2029-04-09
1112,Lund,Stavanger,2758.0,28.0,0.1,2026-06-24,2029-04-05
1114,Bjerkreim,Stavanger,7158.0,72.0,0.22,2026-06-24,2029-03-23
1119,Hå,Stavanger,6268.0,6268.0,14.53,2026-06-10,2028-08-11
1120,Klepp,Stavanger,3414.0,3414.0,5.17,2026-06-24,2029-03-13
1121,Time,Stavanger,5798.0,5798.0,12.28,2026-06-18,2028-12-29
1122,Gjesdal,Stavanger,5779.0,5779.0,19.68,2026-05-29,2028-03-27
1124,Sola,Stavanger,2924.0,2924.0,3.7,2026-11-03,2032-05-12
1127,Randaberg,Stavanger,1161.0,1161.0,1.5,2026-11-04,2032-05-20
1130,Strand,Stavanger,6598.0,6598.0,12.47,2026-06-15,2028-10-20
1133,Hjelmeland,Stavanger,7360.0,7360.0,25.62,2026-05-22,2027-12-14
1134,Suldal,Stavanger,9362.0,9362.0,38.55,2026-05-14,2027-06-25
1135,Sauda,Stavanger,4201.0,4201.0,12.13,2026-06-23,2029-02-26
1144,Kvitsøy,Stavanger,207.0,207.0,0.32,2026-11-05,2032-06-30
1145,Bokn,Stavanger,948.0,948.0,2.07,2026-11-04,2032-05-19
1146,Tysvær,Stavanger,7926.0,7926.0,17.93,2026-10-28,2032-04-19
1149,Karmøy,Stavanger,6834.0,6834.0,11.97,2026-11-02,2032-05-07
1151,Utsira,Stavanger,66.0,66.0,0.2,2026-11-05,2032-06-30
1160,Vindafjord,Stavanger,8327.0,8327.0,25.1,2026-10-22,2032-02-04
1505,Kristiansund,Molde,2048.0,2048.0,4.33,2026-06-29,2029-06-20
1506,Molde,Molde,9849.0,4924.0,19.37,2027-01-08,2033-10-31
1508,Ålesund,Molde,8749.0,8749.0,15.72,2026-12-21,2033-06-29
1511,Vanylven,Molde,3853.0,0.0,0.0,2026-05-01,2026-05-06
1514,Sande,Molde,1741.0,0.0,0.0,2026-05-01,2026-05-08
1515,Herøy,Molde,3933.0,0.0,0.0,2026-05-01,2026-05-14
1516,Ulstein,Molde,2064.0,0.0,0.0,2026-05-01,2026-05-18
1517,Hareid,Molde,1697.0,0.0,0.0,2026-05-01,2026-05-20
1520,Ørsta,Molde,7613.0,0.0,0.0,2026-05-01,2026-05-29
1525,Stranda,Molde,3918.0,3918.0,17.03,2026-12-14,2033-05-13
1528,Sykkylven,Molde,2501.0,2501.0,9.0,2026-12-28,2033-08-24
1531,Sula,Molde,2706.0,0.0,0.0,2026-05-01,2026-06-03
1532,Giske,Molde,1996.0,0.0,0.0,2026-05-01,2026-06-05
1535,Vestnes,Molde,5719.0,2860.0,7.31,2027-01-12,2033-12-12
1539,Rauma,Molde,7546.0,0.0,0.0,2026-05-01,2026-06-17
1547,Aukra,Molde,900.0,450.0,1.12,2026-06-30,2029-07-11
1554,Averøy,Molde,3601.0,3601.0,7.85,2026-06-26,2029-04-19
1557,Gjemnes,Molde,3596.0,3596.0,12.08,2026-06-24,2029-04-13
1560,Tingvoll,Molde,5373.0,5373.0,13.55,2026-06-19,2029-01-08
1563,Sunndal,Molde,7848.0,7848.0,35.35,2026-05-14,2027-07-07
1566,Surnadal,Molde,7330.0,7330.0,33.22,2026-05-28,2028-03-17
1573,Smøla,Molde,1964.0,0.0,0.0,2026-05-01,2026-06-19
1576,Aure,Molde,4577.0,4577.0,16.5,2026-06-15,2028-10-26
1577,Volda,Molde,7345.0,0.0,0.0,2026-05-01,2026-06-30
1578,Fjord,Molde,5931.0,5931.0,24.97,2026-12-07,2033-02-25
1579,Hustadvika,Molde,7743.0,7743.0,21.07,2026-06-08,2028-07-19
1580,Haram,Molde,4153.0,4153.0,9.7,2026-12-23,2033-07-18
1804,Bodø,Bodø,11982.0,11982.0,34.38,2026-07-31,2030-05-03
1806,Narvik,Bodø,12335.0,12335.0,55.82,2026-05-26,2028-02-07
1811,Bindal,Bodø,2467.0,2467.0,18.83,2026-11-03,2032-05-14
1812,Sømna,Bodø,1993.0,1993.0,5.93,2026-12-16,2033-06-01
1813,Brønnøy,Bodø,5124.0,5124.0,21.05,2026-10-16,2032-01-06
1815,Vega,Bodø,1249.0,1249.0,3.77,2026-12-23,2033-07-19
1816,Vevelstad,Bodø,1471.0,1471.0,8.72,2026-12-08,2033-03-01
1818,Herøy,Bodø,3933.0,3933.0,2.02,2026-12-24,2033-08-02
1820,Alstahaug,Bodø,3019.0,3019.0,6.78,2026-12-14,2033-05-18
1822,Leirfjord,Bodø,2506.0,2506.0,9.38,2027-07-15,2036-04-28
1824,Vefsn,Bodø,8559.0,8559.0,37.77,2026-07-16,2029-12-18
1825,Grane,Bodø,4468.0,4468.0,30.45,2026-08-27,2031-01-16
1826,Aarborte - Hattfjelldal,Bodø,4610.0,4610.0,39.02,2026-06-30,2029-07-17
1827,Dønna,Bodø,1732.0,1732.0,4.67,2027-07-20,2036-05-01
1828,Nesna,Bodø,1141.0,1141.0,5.08,2027-07-16,2036-04-30
1832,Hemnes,Bodø,4516.0,4516.0,28.6,2027-09-02,2036-05-23
1833,Rana,Bodø,10959.0,10959.0,72.92,2027-08-20,2036-05-16
1834,Lurøy,Bodø,1485.0,1485.0,5.77,2027-09-13,2036-05-30
1835,Træna,Bodø,88.0,88.0,0.33,2026-12-25,2033-08-22
1836,Rødøy,Bodø,1257.0,1257.0,10.95,2027-07-12,2036-04-24
1837,Meløy,Bodø,4215.0,4215.0,17.47,2027-09-09,2036-05-29
1838,Gildeskål,Bodø,2461.0,2461.0,12.23,2027-07-06,2036-04-23
1839,Beiarn,Bodø,3086.0,3086.0,21.67,2026-10-07,2031-11-13
1840,Saltdal,Bodø,5167.0,5167.0,39.77,2026-06-12,2028-10-03
1841,Fauske - Fuossko,Bodø,5814.0,5814.0,23.25,2026-09-17,2031-06-24
1845,Sørfold,Bodø,3450.0,3450.0,23.65,2026-09-08,2031-04-18
1848,Steigen,Bodø,4379.0,4379.0,20.27,2026-10-26,2032-02-25
1851,Lødingen,Bodø,2014.0,2014.0,9.78,2026-12-03,2033-02-09
1853,Evenes - Evenášši,Bodø,2823.0,2823.0,8.3,2026-12-10,2033-04-08
1856,Røst,Bodø,455.0,455.0,0.63,2026-12-25,2033-08-22
1857,Værøy,Bodø,187.0,187.0,0.7,2026-12-25,2033-08-19
1859,Flakstad,Bodø,2889.0,2889.0,5.25,2026-12-22,2033-07-01
