uke_aar,uke_nr,Kartkontor,Timer_Brukt,Kapasitet_Timer_Uke,Utnyttelse
2026,18,Oslo,4.08,20.39,0.2
2026,18,Hamar,3.4,16.99,0.2
2026,18,Skien,5.44,27.18,0.2
2026,18,Kristiansand,4.08,20.39,0.2
2026,18,Stavanger,3.81,19.03,0.2
2026,18,Bergen,5.44,27.18,0.2
2026,18,Molde,3.4,16.99,0.2
2026,18,Trondheim,7.07,35.34,0.2
2026,18,Bodø,2.99,14.95,0.2
2026,18,Tromsø,4.76,23.78,0.2
2026,19,Oslo,20.39,20.39,1.0
2026,19,Hamar,16.99,16.99,1.0
2026,19,Skien,27.18,27.18,1.0
2026,19,Kristiansand,20.39,20.39,1.0
2026,19,Stavanger,19.03,19.03,1.0
2026,19,Bergen,27.18,27.18,1.0
2026,19,Molde,16.99,16.99,1.0
2026,19,Trondheim,35.34,35.34,1.0
2026,19,Bodø,14.95,14.95,1.0
2026,19,Tromsø,23.78,23.78,1.0
2026,20,Oslo,20.39,20.39,1.0
2026,20,Hamar,16.99,16.99,1.0
2026,20,Skien,27.18,27.18,1.0
2026,20,Kristiansand,20.39,20.39,1.0
2026,20,Stavanger,19.03,19.03,1.0
2026,20,Bergen,27.18,27.18,1.0
2026,20,Molde,16.99,16.99,1.0
2026,20,Trondheim,35.34,35.34,1.0
2026,20,Bodø,14.95,14.95,1.0
2026,20,Tromsø,23.78,23.78,1.0
2026,21,Oslo,20.39,20.39,1.0
2026,21,Hamar,16.99,16.99,1.0
2026,21,Skien,27.18,27.18,1.0
2026,21,Kristiansand,20.39,20.39,1.0
2026,21,Stavanger,19.03,19.03,1.0
2026,21,Bergen,27.18,27.18,1.0
2026,21,Molde,16.99,16.99,1.0
2026,21,Trondheim,35.34,35.34,1.0
2026,21,Bodø,14.95,14.95,1.0
2026,21,Tromsø,23.78,23.78,1.0
2026,22,Oslo,20.39,20.39,1.0
2026,22,Hamar,16.99,16.99,1.0
2026,22,Skien,27.18,27.18,1.0
2026,22,Kristiansand,20.39,20.39,1.0
2026,22,Stavanger,19.03,19.03,1.0
2026,22,Bergen,27.18,27.18,1.0
2026,22,Molde,16.99,16.99,1.0
2026,22,Trondheim,35.34,35.34,1.0
2026,22,Bodø,14.95,14.95,1.0
2026,22,Tromsø,23.78,23.78,1.0
2026,23,Oslo,20.39,20.39,1.0
2026,23,Hamar,16.99,16.99,1.0
2026,23,Skien,27.18,27.18,1.0
2026,23,Kristiansand,20.39,20.39,1.0
2026,23,Stavanger,19.03,19.03,1.0
2026,23,Bergen,27.18,27.18,1.0
2026,23,Molde,16.99,16.99,1.0
2026,23,Trondheim,35.34,35.34,1.0
2026,23,Bodø,14.95,14.95,1.0
2026,23,Tromsø,23.78,23.78,1.0
2026,24,Oslo,20.39,20.39,1.0
2026,24,Hamar,16.99,16.99,1.0
2026,24,Skien,27.18,27.18,1.0
2026,24,Kristiansand,20.39,20.39,1.0
2026,24,Stavanger,19.03,19.03,1.0
2026,24,Bergen,27.18,27.18,1.0
2026,24,Molde,16.99,16.99,1.0
2026,24,Trondheim,35.34,35.34,1.0
2026,24,Bodø,14.95,14.95,1.0
2026,24,Tromsø,23.78,23.78,1.0
2026,25,Oslo,20.39,20.39,1.0
2026,25,Hamar,16.99,16.99,1.0
2026,25,Skien,24.57,27.18,0.904
2026,25,Kristiansand,20.39,20.39,1.0
2026,25,Stavanger,19.03,19.03,1.0
2026,25,Bergen,27.18,27.18,1.0
2026,25,Molde,16.99,16.99,1.0
2026,25,Trondheim,35.34,35.34,1.0
2026,25,Bodø,14.95,14.95,1.0
2026,25,Tromsø,23.78,23.78,1.0
2026,26,Oslo,20.39,20.39,1.0
2026,26,Hamar,16.99,16.99,1.0
2026,26,Skien,0.0,27.18,0.0
2026,26,Kristiansand,20.39,20.39,1.0
2026,26,Stavanger,19.03,19.03,1.0
2026,26,Bergen,27.18,27.18,1.0
2026,26,Molde,16.99,16.99,1.0
